sid, score
"1", 90
"2", 80
"3", 20
"4", 34
"5", 10
"6", 80
"7", 60
"8", 40
"9", 50
"10", 19
"11", 90
"12", 80
"13", 20
"14", 34
"15", 10
"16", 80
"17", 60
"18", 40
"19", 50
"20", 19
"21", 90
"22", 87
"23", 24
"24", 36
"25", 12
"26", 89
"27", 63
"28", 42
"29", 56
"30", 11
"31", 98
"32", 84
"33", 27
"34", 32
"35", 19
"36", 85
"37", 63
"38", 45
"39", 58
"40", 11
"41", 93
"42", 82
"43", 28
"44", 39
"45", 15
"46", 84
"47", 66
"48", 47
"49", 53
"50", 15
"51", 90
"52", 80
"53", 20
"54", 34
"55", 10
"56", 80
"57", 60
"58", 40
"59", 50
"60", 19
"61", 90
"62", 80
"63", 20
"64", 34
"65", 10
"66", 80
"67", 60
"68", 40
"69", 50
"70", 19
"71", 90
"72", 87
"73", 24
"74", 36
"75", 12
"76", 89
"77", 68
"78", 46
"79", 52
"80", 15
"81", 90
"82", 80
"83", 20
"84", 31
"85", 13
"86", 86
"87", 63
"88", 44
"89", 59
"90", 12
"91", 97
"92", 86
"93", 23
"94", 85
"95", 71
"96", 72
"97", 73
"98", 74
"99", 75
"100", 76
"101", 90
"102", 80
"103", 20
"104", 34
"105", 10
"106", 80
"107", 60
"108", 40
"109", 50
"110", 12
"111", 91
"112", 81
"113", 21
"114", 31
"115", 11
"116", 81
"117", 61
"118", 41
"119", 51
"120", 11
"121", 91
"122", 81
"123", 21
"124", 31
"125", 11
"126", 81
"127", 61
"128", 41
"129", 51
"130", 11
"131", 91
"132", 81
"133", 21
"134", 31
"135", 11
"136", 81
"137", 67
"138", 47
"139", 54
"140", 11
"141", 99
"142", 85
"143", 27
"144", 32
"145", 17
"146", 89
"147", 65
"148", 43
"149", 57
"150", 11
"151", 99
"152", 85
"153", 27
"154", 34
"155", 14
"156", 80
"157", 60
"158", 40
"159", 50
"160", 19
"161", 90
"162", 80
"163", 20
"164", 34
"165", 10
"166", 80
"167", 60
"168", 40
"169", 50
"170", 19
"171", 90
"172", 87
"173", 24
"174", 36
"175", 12
"176", 89
"177", 68
"178", 46
"179", 52
"180", 15
"181", 90
"182", 80
"183", 20
"184", 31
"185", 13
"186", 86
"187", 63
"188", 44
"189", 59
"190", 12
"191", 97
"192", 86
"193", 23
"194", 85
"195", 71
"196", 72
"197", 73
"198", 74
"199", 75
"200", 76
